5A   174.928 MHz  (174928 kHz)
5B   176.640 MHz  (176640 kHz)
5C   178.352 MHz  (178352 kHz)
5D   180.064 MHz  (180064 kHz)

6A   181.936 MHz  (181936 kHz)
6B   183.648 MHz  (183648 kHz)
6C   185.360 MHz  (185360 kHz)
6D   187.072 MHz  (187072 kHz)

7A   188.928 MHz  (188928 kHz)
7B   190.640 MHz  (190640 kHz)
7C   192.352 MHz  (192352 kHz)
7D   194.064 MHz  (194064 kHz)

8A   195.936 MHz  (195936 kHz)
8B   197.648 MHz  (197648 kHz)
8C   199.360 MHz  (199360 kHz)
8D   201.072 MHz  (201072 kHz)

9A   202.928 MHz  (202928 kHz)
9B   204.640 MHz  (204640 kHz)
9C   206.352 MHz  (206352 kHz)
9D   208.064 MHz  (208064 kHz)

10A  209.936 MHz  (209936 kHz)
10B  211.648 MHz  (211648 kHz)
10C  213.360 MHz  (213360 kHz)
10D  215.072 MHz  (215072 kHz)

11A  216.928 MHz  (216928 kHz)
11B  218.640 MHz  (218640 kHz)
11C  220.352 MHz  (220352 kHz)
11D  222.064 MHz  (222064 kHz)

12A  223.936 MHz  (223936 kHz)
12B  225.648 MHz  (225648 kHz)
12C  227.360 MHz  (227360 kHz)
12D  229.072 MHz  (229072 kHz)

13A  230.784 MHz  (230784 kHz)
13B  232.496 MHz  (232496 kHz)
13C  234.208 MHz  (234208 kHz)
13D  235.776 MHz  (235776 kHz)
13E  237.488 MHz  (237488 kHz)
13F  239.200 MHz  (239200 kHz)


Generated by ChatGPT
